Comment|No|Yes|Kind of offensive language
Klerycy i tym podobni do Wiadomości///|3|0|1
Atak na PiS zaczęty. TVN poświęca 50% swojej strony na wymyslanie czegokolwiek aby przedstawić w negatywnym świetle. Jednocześnie ci sami psełdoeksperci z pzpr czy PO którymi wszysycy wymiotują jak Cimoszewicz itd. znou szczekają na PiS w tym samym tonie.... żenada|1|7|1
Szkoda że odchodzą świetni dziennikarze. Może co po niektórzy powinni się nauczyć czytać i oglądać wiadomości ze zrozumieniem. Tak ogromna ilość hejtow od motłochu jest przerażająca. Będzie brakowało prawdziwego dziennikarstwa. Na ich miejsce przyjdą marionetki bez mózgu i własnych poglądów. Szkoda...|1|0|1
Jaki Lech Wałęsa?? Kto to? Aaaaa chodzi o LEJBA KOHNE...|3|2|1
Szczujecie koryciarze a coście  złodzieje zrobili ? Rozkradliście , sprzedaliście i  zniszczyliście wszystko . Mam nadzieję że zza krat o wodę będziecie prosić|1|0|1
NAROD OTWIERA OCZY ....PObabrancy do Brukseliek|58|28|1
Tytuł wprowadza czytelników w błąd. Nazywanie p. Lewickiej dziennikarką jest obrazą dla innych wykonujących ten ciężki zawód. Informację należało zatytułować "Cyngiel reżimowych mediów znalazł swoje miejsce na śmietniku historii"|2|1|1
P. Tusk boi się SPRAWIEDLIWOŚCI - dla niego POLSKA TO NIENORMALNOŚC - dlatego tak ją niszczy.Nie dopadnie Cie sprawiedliwość ziemska to dopadnie Cię sprawiedliwość boska - za zdradę !!!|109|8|1
A ja twardo stoję za p.Schulzem! Dlaczego: jest przedstawicielem wielonarodowej organizacji która finansuje kraje takie jak Polska. Nie może byle jaki łachudra jak szydło, ziobro, brudziński, kaczyński, duda odnosić się arogancko do takich Organizacji. Cały problem polega na tym , że strona polska eksponuje stanowisko pis a nie narodu polskiego! I o tym dobrze wiedza na Zachodzie. Pokrzykiwanie szabelką nic nie da; tak w 39 roku brunatny polski faszyzm podskakiwał do Niemiec. I co z tego wynikło - wszyscy wiemy.Nie powtarzajmy na litość boska tego samego!|8|1|1
faszyści ukraińscy prowokują putina aby ruszył na kijów|3|14|1
pruscy żydzi nigdy nie byli propolscy.|32|14|1
Kiedy Donald stanie przed Trybunałem Stanu???|105|52|1
księża napuszczają dzieci kościół zrobili polityczny ale sami chowają się za ołtarz ze to niby do polityki się nie wtrącają fałszu nauczyli się od Judasza|2|0|1
Tego co tu jest napisane w tym reportażu Niemcy powinni nauczyć się na pamięć aby wiedzieli co ich czeka pomimo że zostali zgwałceni i okaleczeni psychicznie na całe swoje życie przez brudne rozwscieczone bestie nie wyznające zadnych zasad ludzkich.Tak im zafundował los ich własny rząd i pani Merkel w swym miłosierdziu bo do tąd mieli żle.Co będzie dalej nie wiem ale wiem tylko że bestja nigdy nie stanie się cywilizowanym człowiekiem.To jest tak jak cudze widzi sie bardzo daleko a swego poważnego problemu nie widzi sie pod swoim nosem.|1|17|1
cały świat się śmieje łącznie z Ameryką a ty mówisz Polska jest wielka?|5|1|1
nikt normalny dla pisowskiego reżimu nie będzie pracował|5|4|1
Skończ Bolek ..wstydu nie masz ...zniknij raz na zawsze.|73|36|1
Na pewno pchła zrobiła swoje a on się cieszy.|1|1|1
krym to ukraina wiec rosji nic do tego moze zabierac swoich zaslepionych w durnote rosyjska obywateli i wyslac do rosji,ukraina moze robic co chce na krymie bo to ukrainski polwysep.!!!!!!!|3|3|1
Od dawna twierdze,ze WP to dziadowski POpaprany portal!|5|1|1
oglądał,jak podskakują kodowicze na jeziorze i nagle lód pęka...:)))|9|12|1
Oglądał nagie zdjęcia Kryśki Pawłowicz.|5|5|1
niemożliwe!  taki jesteś do przodu?  niebywałe...|0|1|1
ile dostajecie za te wpisy 3 zł a może wam podnieśli.Teraz sami oglądajcie TvP i tym podobne|2|1|1
Nie pajacuj Bolek  i tak wiadomo jaka jest prawda|52|17|1
Mało ci ten PIS płaci tylko 1 złotówkę.|3|2|1
Pan Gliński mówi głupoty. Media od zawsze i wszędzie były i są polityczne. Chodzi tylko czyją politykę b ędą  prowadziły. - Jeżeli naszą politykę to dobrze. Ale takie stanowisko w polityce jest oczywiste ale jednocześnie prymitywne.|1|0|1
Ciekawe kto tak pompuje Nowoczesną to największe nieroby w sejmie .|3|1|1
Odchodzą resortowe dzieci.Żegnamy was ozięble.|2|1|1
a moze tak po nazwisku i do WIEZIENIA|82|36|1
te phani redaktur zwalniają ludzi za wygląd za wiek za przynaleznasc partyjna wiare i to posad trochę nizej niż niż nawet ministerialne przataczki robotnikow nauczycielki i każdy to ma w d.... wiec o co chodzi Po co kochalas agentury i bylas stronnicza .....|1|0|1
Tych komentarzy nie da się czytać. Wszędzie tak samo. Hejterzy PIS wam za to płaci? Trzeba się zachować godnie|1|0|1
Oj nie będzie mu wkrótce do śmiechu, nie.|0|1|1
Wreszcie zrozumiał seans dowcipu który usłyszał 5 lat wstecz.....|2|0|1
odezwało się forum pisowców|6|2|1
WOLNA POLSKA   PYTAM  CO MA GENERAL NA SUMIENIU, ZE PODDAJE SIE DYMISJI ???!!OBECNIE  NIE BEDZIE SŁUŻY PRAWICOWEMU RZĄDOWI TO JAKIEMU,KOMU  SŁUŻYŁ PRZEDTEM   ,NIEMCO RUSKIM ??? ps. GENERAL POslugiwacz|1|6|1
@Ed- nie znasz historii, na wschodzie Polski w 1939 r. była po prostu Polska, nie trzeba było obawiac się "polskiej rewolucji", co ty kurna bredzisz.|2|2|1
To bardzo dobrze , że zwalniani są wieczni dziennikarze, agenci SB, PO i banksterów Sorosza i Balcerowicza, targowiczenie, wrogowie Polaków i Polski. Brawo PIS !|1|0|1
W czym tkwi problem  - nas rozwiązało PO .  Wy pretensie do misia bobo|28|14|1
Oto PISowska strategia oparta na kłamstwie,mściwości i obłudzie.Mam nadzieje że niedługo społeczeństwo zrozumie do czego prowadzi PISlamizacja i wyjdzie na ulice aby zapobiec dalszemu niszczeniu kraju.|5|1|1
śmieją się jak głupi do sera przecież są w miejscu któremu należy się szacunek  za co my im płacimy ? to  kabaret , hucpa czyli "lepszy sort"|1|2|1
Pewnie to samo co pacynka Duda robi prezesowi :)|10|5|1
w rosji  nie potrzeba sniegu albo zefirku wystarczy ze zabraknie wodki  i bimbru a rusek padnie  bo bez  bimbrowych witamin   rusek jest miortwy.|2|3|1
i " Przestepcy i Sbiry " nie posiadali hamolcow i nadal dzialaja jak zawsze dzialala NKWD  z ktorej sa|3|1|1
sieć spokojnie tusk na d..e  zajmij się imigrantami|31|17|1
Dyskutuj Donald i unia wyciągnie papiery z dawnych czasów i z 8 lat okupacji kraju.|410|287|1
To za to nierobowi płacimy, żeby sobie w godzinach pracy po necie hulał?|3|6|1
Zgadzam się, niech jaruś odda swoją teczkę. TW balbina....|4|3|1
pampersy wyjątkowo aktywne. dobranoc dzieci|3|0|1
Panie Thusk, a wydarzenia w Smolensku nie byly wystarczająco interesujące, by je przedyskutować przed KE?  TARGOWICA!|7|3|1
Śmieje się że tak łatwo za 500zł Polacy dali się wyDudkać|1|4|1
WP, to zdrajcy Ojczyzny, WP, to zdrajcy Ojczyzny:|2|1|1
Wolę taki śmiech jak fałszywy uśmieszek waszego Schetyny|2|1|1
Moze obejrzal akt pani profesor?|1|1|1
Strach się bać :) Ciekawe kiedy Ci co dostali pracę w fabrykach wybudowanych za POprzedniej władzy stracą ją . Tylko patrzeć jak z polonizują również firmy zagraniczne, kiedyś nazywali to porostu nacjonalizacją przemysłu. I będą obsadzać stanowiska nieudacznikami partyjnymi. Są jeszcze ludzie, którzy pamiętają taki czas...i do czego to doprowadziło? Chyba,że o to chodzi, żeby znowu w pegerach nic nie robić tylko kraść i chlać. Są też tacy którym właśnie tęskno za tym rajem utraconym.|1|0|1
Dla tych ludzi europa to burdel z nagimi kobietami !!! Witały ich serdecznie za progami tego burdelu ... oni mieli obiecane zabawy z tymi "nieczystymi" paniami + 2.000 euro !!! ... TO JAK SIĘ MAJĄ ZACHOWAĆ ???|3|115|1
Weź se mój koment przeczytaj lepiej|6|2|1
i czym oni się różnią od Talibów, chyba tylko beretami|4|3|1
jakoby ktoś zauważył, że świat podąża w niewłaściwym kierunku ?  a o czyniącej zło monice tarasiuk z magny w DG ? to taka sama osoba jak polski polityk zakłamana, udająca; ale ból podwójnego kaleki, który nigdy nie był w pełni człowiekiem, bo JEST IMPOTENTEM, a teraz kulawym za sprawą magazyniera magny - jest dla niej  istotniejszym, ażeby go zadać kalece. Ponieważ jak sama zeznała od wyrzucenia mnie z magny nie miała ze mną żadnego kontaktu oprócz imejLi z prawdą - które ją ponoć nękały... LOL.  Nie mogła znieść słów prawdy o niej i o dziecku, to se wsadziła niewinnego kalekę do wiezienia, dlatego wsadziła go drugi raz do więzienia. teraz rachunek moniki jest ogromny i ona hipokrytycznie udaje, że wszystko jest w porzo. Dla mnie  praca w magnie jest niemożliwa, tak bo ta firma nie jest bezpieczna dla wszystkich, sama robi sobie co chce z ludżmi i ma ogromnie grubą czarną księgę. nie chcę zginąć w magnie za sprawą magnańskich psów, którzy co rusz by mnie albo  popychali, szturchali i znieważali bo w magnie lubią znajdować słabszych i znęcać się nad nimi. A za kość od moniki to zrobią nawet ze mnie miazgę. Tak działa korporacja.|2|1|1
Ten śmieć jasno dowodzi, ze PO to agentura złodziejskiej finansjery...|839|100|1
A za czasu Platformy było tak pięknie cudownie... Przestań bredzić.|18|5|1
niedługo będzie jak na Białorusi  99,9% za PIS-em ???????|2|0|1
Kiedy wreszcie dotrze do was ludzie, że każda religia to narzędzie pewnych grup interesu do zdobywania pozycji i skubania was z kasy. Wszystkie religie powinny być zakazane. Islam dziś jest jak chrześcijaństwo w średniowieczu. Żeruje na niewykształconych smoluchach. Meczety i kościoły powinno się przerobić na szkoły i uczyć ludzi o świecie zamiast uczyć ich jak interpretować stare książki pełne sprzeczności i bajek.|3|0|1
dziwne ilu Was nieudaczników tutaj jest? Obstawiam że każdy tutaj co hejtuje nie umie podnieść ciężaru codzinności i stąd ta cała miłośc do PISu. Partii która swą popularność buduje na niesieniu pomocy ludziom, którym się nie chce pracować! Wśród mojego otoczenia PIS popiera ten kto pracuje od lat na śmieciową umowę, całe 8 godzin picia kawy i pierdzenia w stołek, i dziwi się dlaczego on się jeszcze nie dorobił !! Kto na Zachodzie Świata dorobi się tak żyjąc - NIKT!! Więc przestańcie czekać aż manna z nieba poleci i weźcie się do roboty !!|2|0|1
Jak zwykle ryży przekręt i jego bufetowa.|31|17|1
Brawo Pis~`ktoś Ci płaci za te durne komentarze?|6|1|1
"SZUFLANDIA" w natarciu. "NADSZYSZKOWNIK"Jarosław może być dumny .|6|2|1
Będą spore oszczędności po tej babie. Synekurkę sobie znalazła....|44|19|1
Przeciez , on  sie  smieje  z  was  DURNIRE , ze tak was " nabral"  i  glosowaliscie  na  PIS.|2|8|1
Kolejny beton.|1|0|1
ty za ten gaz zapłacisz bo Ukraina nie ma jak zapłacić za bieżące potrzeby, gaz z Kataru jest 20% droższy od rosyjskiego więc i ty się do tego dołożysz, potem będziesz jak tradycyjny lewak wył, że gaz w Polsce jest taki drogi|0|0|1
Allach to taki sam bóg jak katolicki i więcej jest w Koranie o miłosierdziu niż o zemście. Wiec przestańcie poddawać sie garstce popaprańców. A Ty Europo przestań udawać że niczego nie widzisz.|3|0|1
Proponuje utworzenie państwa katolickiego.musicie sie najpierw uzbroic potajemnie potem zamordowac lokalne wladze ( grzech korupcja szatan ) opanowac policje I wojsko I taka czestochowa wasza i gestapo zdrowas Mario i huzia bozia!|4|0|1
tutaj siedza sami pismaki komentarzy jest 220 a lapki w gore prawie 600, rozumie sami trolle pisowskie na tym forum-:)))|7|4|1
Dlaczego tego pana pokazujecie teraz będę miał koszmary w nocy i będę się moczył!|2|1|1
no to banderowcy dostaną nauczkę od Putina !!! ręka noga mózg na ścianie...|0|0|1
A kto to jest ten WD. stary piernik i nieudacznik.|2|0|1
Miasto  Wrocław  przez  większość    lat  było  związane  bardziej    z  Niemcami  ,  niż  z  Polską . Czy  to  oznacza  ,  że  dzisiaj  nie  jest  polski  ? Nie  słyszałem  ,  żeby    Niemcy  chcieli    nam  go  ukraść . Do  tego  trzeba  mieć  mongolską  mentalność .|2|0|1
Jaki donos na Polskę?????????????   Choroba nieuleczalna?????  Chyba w XXI wieku znajdą się specjaliści.|1|0|1
Ten sadaz byl z pewnoscia przeprowadzony w szkole Rydzyka, albo na jakiejs pielgrzymce!|6|0|1
Pewnie Niesioł chciał mu zaserwować szczaw i mirabelki ,a tu zima trzyma i .....|1|0|1
Katolik z klapą w marynarce-żenada i hipokryzja|52|22|1
Z nas Polaków się śmiał.|1|2|1
Gdzie jest to Cenzurowane z WP?.Jak to mozna dopuscic takie Plucie wsciekłym jadem> nie --to jeszcze resztki POpychadeł.|3|0|1
a do tej pory była bezstronna  następna idzie po pomoc do niemieckich mediów nie zasługuje nawet na pogardę|1|0|1
tak jest dobrze im tak niech zobacza jak jest i zasilek im dac 500zl i niech zyja caly miesiac|4|3|1
Nie tylko kilku członków rządu uważa go za wroga Polaków Obywatele w większości też. Histora go osądzi, wcześniej być może też ktoś pochyli nad nim głowę.|107|56|1
Spokojnie ! Zdaje się,że antyżydowski [ z manifestacji]jest  kumpel Kukitza [media pokazały ich na wspólnym zdjęciu!].Więc nawet gdyby zatłukł nawet żyda to pewnie Duda awansem ułaskawi i będzie OK?|2|1|1
Zostali tylko dziennikarze tzw " DYSPOZYCYJNI" dla obecnej wladzy. WYPISUJE SIE Z OGLADANIA TELEWIZJI PiS - OWSKIEJ.. Juz widac kolosalna zmiane w przekazie wiadomosci , mdlych i nic nie wyjasniajacych wywiadach. Jedyne  co powiadaja to " Polacy nic sie nie stalo " Szydlowa - " to dobrze ze jestesmy teraz pod nadzorem unijnym " Morawiecki - " to dobrze ze obnizono nam rejting " - eksporterzy zarobia. BZDETY I KLAMOLSTWA I PEWNOSC ZE GLUPI NSROD TO KUPI.|5|1|1
naród głosuje za patriotami, a zdrajcom precz z Polski.  ANDRZEJ ,BEATA ,JAREK tak trzymać.|75|41|1
antonimy: czarne-białe, surówka-gotówka, dziennikarz-nocnikarz|2|1|1
jds: zazdrosny??? O Pawłowicz??????? :) :)  :) :) :)|10|11|1
Polsat jest żałosny.|9|8|1
No to teraz bedzie tych tzw. dziennikarek z smiesznymi akcentami gwarowymi, nie umiejącymi po Polsku dobrze mówić. Mońki. Nowy Targ, Lublin, Kielce na start|1|0|1
POWIEDZ COS o PO ILE PŁACIŁO I PŁACI TO DOPIERO JEST FORSA|8|0|1
oj Debski - jesteście towarzyszu gorszego sortu|576|396|1
kto wydal decyzje o nielegalnych dzialaniach? Jeszcze chodzi wolno? Gdzie? W Burkina Faso? Nie, w Polsce. Jaki wplyw na te dzialania mial specjalista od "kupy gruzu"-klaun sienkiewicz??? Tez chodzi wolno, jeszcze????|44|21|1
Śmiej się dalej aż do 5,99 za Euro|0|4|1
SONDAŻ ROBIONY W KOŚCIELE POD AMBONA-CHA CHA CHA|7|2|1
PZPRowiec Dębski widać daje wodę na młyn lemingom...|3|1|1
LEWICO SPADAJ NA SZCZAW! wstyd i hańba, burdel lewacki won!|18|15|1
Mata co chcielista....|83|42|1
byś się nie kompromitował donaldzie tym co robisz a angielskim szcególnie|7|4|1
ludzi umoczonych w układach PO pod trybunał|3|1|1
"Pisowski" ściek? A Twoja wypowiedź to niby co? Wersal? Przy takim chamstwie twój przekaz jest po prostu śmieszny.|2|1|1
Przeciez wszyscy wiemy, ze komune obalil kacyk Jarek, nikt inny. A byl tak gleboko zakamuflowany, ze nawet go nie internowano|3|1|1
Panie Dębski nie wmawiaj ludziom, że mamy już 2017 rok, bo tyle to trzeba poczekać i zobaczyć co PIS wykonał a co nie. Kłamstwami i czarnowidztwem nie poprawi Pan swojego wizerunku "dziennikarza".|1|0|1
Ciekawe czy za darmo yście komuś przez długi czas udostępniali cokolwiek, HIPOKRYCI!!!!!!!!!|7|4|1
a ja krzyczę lechu krzyczę zamień łóżko swe na pryczę!|3|1|1
Zrozumiał wic co mu opowiedzieli miesiąc temu|1|1|1
A gdyby inna partia wygrała "wybory" to oni tam by nie protestowali? Rząd ich nasłał? Nawiedzeni misjonarze rabina Tuska jak nie zobaczą to zawsze coś wymyślą...|4|2|1
Ta istota to teraz będzie przyjmować pielgrzymkę na kolanach premiera i prezydenta  Polski.|3|1|1
noi prawidlowo , pani juz dziekujemy|1|0|1
UWAGA!!!!!  Większość komentarzy pisana dla kasy na zlecenie prezesa!!!!!!!!!|18|7|1
Łatwo jest kogoś obsobaczyć, opluć i nie ponosić z tego tytułu żadnych konsekwencji! Gdzie byli ci wszyscy oskarżyciele Lecha gdy trzeba było nadstawić głowy swojej i swoich bliskich? Przecież ktoś wybierał Wałęsę na szefa SOLIDARNOŚCI i głosował na Niego gdy wybierano Prezydenta Polaki!!! Wstydźcie się wszyscy tchórze i intryganci dzisiaj, po latach deptający ostatnie autorytety Najjaśniejszej Rzeczypospolitej! Naród bez autorytetów jest Narodem bez historii a Naród bez historii nie ma racji bytu! Czy tego chcecie nędzni oczajdusze? Wysyłacie dzieci aby szkalowały człowieka bezprzykładnie oddanego Polsce? Wstyd i hańba!!! Do czego jest zdolna chamska nienawiść i chęć nieuzasadnionego odwetu małych ludzi!!!|5|2|1
PO-PSL i Nowoczesna to smietnik zla|289|198|1
we łbie mu sie przewraca ,pseudo Polakowi|8|5|1
CO MÓGŁ POWIEDZIEC ,TERAZ K..... MY|3|2|1
Niedlugo i wam sie skonczy antypolska witryna,zdrajcy!|0|7|1
"Imigranci" molestują już w Europie Zachodniej a w Polsce nie !!!   ZAŚCIANEK !!|4|1|1
tyle, ze sami sie nie podali do dymisji, Po mial prawo mianowac 3 z Tk i Pis wzorem doswiadczenia swoicj licznych czlonkow pochodzacych z dawnego PZPR wprowadza slawetne  nioocne wizyty a swiatly pan od kultury , ktory niewiele rozumie z tej kultury robi cenzure, wzorem swoich pzperowskich braci........ nie mow wiec , ze pis nie robi zamachu. On po prostu nie umie i nmie rozumie, ze mozna inaczej. Masz racje tylko w tym co powiedzial Kurski, ze ciemny narod to kupi. Problem w tym , ze nie caly narod jest ciemny, choc coraz czesciej ten nie ciemny stad ucieka. Za pisu ucieklo go najwiecej....|2|0|1
On się tak z Polski śmieje.|3|6|1
Czyżby głupota zaczęła zataczać coraz większe kręgi?|5|2|1
W znakomitym gronie hahaha ta to ma tupet|3|2|1
tygodnik âSpiegelâ, który tradycyjnie lokuje swoje sympatie bliżej socjaldemokratów napisał kilka lat temu, że Angela Merkel typuje Tuska m.in. na szefa Komisji Europejskiej, bo jest âłatwy w hodowliâ, âniewymagającyâ, âniekłopotliwyâ. Targowica|22|9|1
Widocznie tak miało być.  Zasłużyła sobie Pani.|2|0|1
To jest to. Nadpremier smiejacy sie w trakcie obrad Sejmu. Widac jak jest zainteresowany, ze swoimi pieskami, tym co dzieje sie na Sali Obrad. To nie tylko buta i brak poszanowania powagi Sejmu to cos powazniejszego. Inteligent szpagatowy ze sloma wystajaca z butow.|3|6|1
Śmieje się z własnej głupoty|0|3|1
Zdjęcie przedstawiające Jarosława Kaczyńskiego  i Orbana  jako Flipa i Flapa.|4|17|1
spadajcie towarzyszu Debski|25|24|1
Dopiero teraz masz komunę u władzy, jakbyś sprawdził życiorysy włącznie z prezesem który jeździł na szkolenia do Moskwy to byś nie gadał głupot.|1|0|1
Reszta nawet nie zdążyła przeczytać,a już się śmiali. Macie cały obraz tych pajaców.|1|11|1
Ciemnota się cieszy|1|0|1
The Just One - "czytanie ze zrozumieniem najwyraźniej boli wyborców PiS. Łatwiej opluwać, i oskarżać bez dowodów". W tym momencie to ty opluwasz wyborców PiS. Zresztą każdy zwolennik PO robi dokładnie tak samo... Uważacie się za "lepszą część społeczeństwa " ... Jednak wasze komentarze nie pozostawiają złudzeń . Zaprzeczacie sami sobie...|22|3|1
Niech się dalej partacze z nowoczesnej i popaprancy chandryczą to spadną poniżej 10. I tak powinno być.|54|23|1
Do garów zamiast pisać bzdety. Lewicka pytała, a Gliński powinien odpowiadać na zadawane pytania. Jeżeli rozmówca wygłasza tylko swoje oświadczenia do obowiązkiem dziennikarza jest mu przerwać i prosić o odpowiedź na zadane pytanie. Tylko w rydzykowej kablowce dziennikarze są usłużni.|1|0|1
Ta strona www, to zwykła zbieranina lewaków!. Wirtualna Polska = Wirtualny kraj = Państwo teoretyczne.|3|0|1
A kim On jest aby ŻĄDAĆ organizacji spotkań przez IPN i to jeszcze z góry ustalonymi osobami, pytaniami i charakterze spotkania.  Chce takie spotkanie (chce się oczyszczać) to niech sobie zorganizuje.  Państwo nie ma obowiązku ponosić koszty i oczyszczać wątpliwych osobistości.  Im starszy tym bardziej palma odbija ...|53|25|1
Przytoczyli też słowa posłanki Beaty Kempy, która łączy się z nimi w modlitwie.Myślę ze pani Kempa powinna rozebrać się do golasa przed tym teatrem to nawet ci z Krucjaty Różańcowej spieprzali by gdzie pieprz rośnie,nie mówiąc o pracownikach i aktorach teatru,i byłoby po sprawie.|2|0|1
Nie dawać się żydostwu i banksterom  Nawet l.miller przyznał w wywiadzie że poprzedni parlament złamał konstytucję wybierając. wiosną 5 sędziów na zapas. przez po. psl.   Rzepliński do  natychmiastowego zwolnienia . Nie można sankcjonować takich wybryków. w wykonaniu rzeplińskiego i TK|6|5|1
Pis chce ogłupiać cały świat, propaganda lepsza niż za komuny.|2|1|1
Śmieje się że dyma Polskę|1|8|1
No to już wiadomo skąd on bierze te swoje super pomysły. pewnie teraz hitem dla niego jest książka Hitlera|0|0|1
Bolku zamilcz, bo wijesz się jak wąż. Poza tym tylko winni się tłumaczą kłamco........... Że też ktoś taki jak ty był prezydentem Polski....|1134|770|1
Czy dziennikarze to święte krowy te resortowe zidokomuny to chyba tak|105|50|1
pewno dostał zdjęcie nagiej posłanki szczypińskiej|9|17|1
i do tego łapóweczek?|1|0|1
Porąbani fanatycy religijni. Takie zachowanie prowadzi w dalszym etapie zidiocenia do przywiązywania sobie ładunków wybuchowych wokół brzucha... Przecież to nie było wystawiane publicznie np. na głównym placu. Kto nie chciał oglądać pornografii nie musiał przecież kupować biletu i wchodzić do teatru, prawda?|5|3|1
DOKŁADNIE TAK.....porzucenie pracy się równa bez prawa do zasiłku ... fochy to u mamusi albo u cioci wasza nać "|2|0|1
Jest takie powiedzenie :  Śmieje się jak  głupek do  sera  No comments !|3|11|1
cieszy japę, że udało mu się tablet w końcu uruchomić|4|7|1
Ciekawe kto będzie układał teraz ramówki w "TVP IS" , bo wiadomo, że całą władzę to ma mini prezes i to on dyktuje co ma PAD podpisywać i Pani Broszka mówić...?|2|1|1
zdrajca|31|8|1
ej dębski gdzie ty żyjesz????????|2|1|1
Należy zrozumieć ,że jeżeli za niecałe 4 lata PiS- poniesie porażkę ( czego jestem pewny) - to wtedy cały pisowski skład w TV-PiS podda się honorowo łoży sam w komplecie wypowiedzenia. PiS moim zdaniem wygrał przypadkowo  tylko dlatego ,że posiadał na liście wyborczej nr 1 ( "niezorientowany lud" , podobnie jak poprzednio na PSL glosował na tę listę nr 1") , a po drugie lewica straciła ponad 12 % głosów ( z powodu rozbicia lewicy na kilka ugrupowań). I TO JEST CA CAŁA TAJEMNICA sukcesów PiS-u  w ostatnich wyborach.!|7|2|1
Facet bez prawka i konta zna się na tablecie ? Zamiast pracować bawi się tabletem|5|9|1
Banderowcy oczywiście bo chca wzniecić niepokoje na Krymie.|12|7|1
Panie Hipokryto boisz się pan opodatkowania pańskich marketów w Polsce|1|0|1
To tak kaczynski pracuje w sejmie?? Czyta sobie plotki na teblecie!! Hanba!! Precz z takim poslem darmozjadrn nierobem!!!!|2|11|1
Jak w Europie porządnie po gębie nie dostaną to się nie wyniosą .To dosłownie i w przenośni .|0|9|1
CMY I NIETOPERZE ZERUJA PO NOCY. NASZ RZAD JEST TYM SAMYM.|0|0|1
PIS atakuje ale tylko jedna strone bo wg PISu podsłuchiwanie polityków tylko jednej opcji czyli PO to wg kaczyńskiego jest w porządku. Czy ci co podsłuchiwali polityków a wiadomo wszystkim dookoła kto miał motyw robili to zgodnie z prawem.? Czy słuzby odpowiedzialne za brak zabezpieczeń odpowiadaja i ktokolwiek z tych słuzb został skazany za niedopełnienie obowiązków. PIS musi zniewazać wszystko i wszystkich dookóla a potem twierdzi ze to nie my a Polacy. Zakłamanie że szanuja demokrację w tym PISie jest przebrzydłe.|9|1|1
Cieszy się, że tylu ogłupionych polaków tak skutecznie i szybko okłamał i zrobił w ciula !!!!|1|2|1
Zatrudnią "dziennikarzy" z telewizji "Trwam w nienawiści".|1|0|1
zobaczył swoje odbicie w tablecie|2|2|1
no ja kto co , zrobił test na inteligencje|2|0|1
Oj lepiej ,ze nie pękł ...bo mielibyśmy  podwójne miesięcznice .|4|0|1
rozsmieszyl go  zimny lech.....w tvp piss  !|1|3|1
i pomyśleć że na takich bandziorów i Polska płaci, daje ukrainie co roku bezzwrotne pożyczki/ostatnio 100 mln euro od Kopacz/ oraz wspiera wojenkę miliarderów posyłając tam na bombardowania codziennie /ostatnio nocą/nasze samoloty ?|0|3|1
Do jasnej cholery !!! Jakie państwo islamskie ?????????????? OBŁĄKANE ISLAMSKIE BESTIE, PUSTYNNE PSY SZATANA - TAK NALEŻY ICH NAZYWAĆ !!!!!!!!!|0|11|1
Tak właśnie pracuje Kaczyński i my na niego płacimy nic więcej nie trzeba pisać jego zachowanie w  pracy samo mówi za siebie. Dla mnie to niezrównoważony człowiek który jest u władzy. Pora wysłać  go w XVII wiek bo tam go widzę a nie w moim demokratycznym kraju.|0|4|1
Płakać po niej nie będę. Hasta la vista, baby :-)|1|0|1
ten trzeci to taki maly kolo co sie we wszystko wp ... ala choc nic nie wie . pewni ludzie w Polsce zbawicielem go nazywaja .|4|4|1
jaja sobie robi z tych co na nie go glos odali|4|5|1
cóż za powaga podczas wykonywania swoich obowiązków służbowych, w dodatku w trakcie głosowania... żenada|1|2|1
Oddaj złoto wermachtowcu|11|5|1
a ty Lolkiem ?  a moze to Jacek i Placek(ten drugi)|1|0|1
No i w sumie dobrze że ona odchodzi bo słaba z niej dziennikarka. Swoją decyzją pokazuje swoje sympatie polityczne a dziennikarz musi być obiektywny! Może w MC donalds znajdzie swój cel zyciowy!|2|1|1
Panie Stankiewicz wydawało mi się do tej pory ,że jest pan bezstronnym dziennikarzem,ale .....tylko mi się wydawało....|1|1|1
PEWNIE ZACZĄŁ SIĘ ŚMIAĆ BO DZIEŃ WCZEŚNIEJ KTOŚ MU OPOWIEDZIAŁ ŚMIESZNY KAWAŁ A ON DOPIERO ZAJARZYŁ|1|5|1
oczyscic media ze zwolennikow zlodziejskiej PO.Psl,ktore niszczyly PiS.Brawo PiS czyszczic do konca-praca w marketach czeka na marnote dziennikarska|3|2|1
To on umie obsługiwać tablet??? Dziwne!|1|4|1
DUDUS POWIEDZIAŁ ZE ON RZADZI|0|3|1
Czy ktoś łaskawia zada sobie trud porównania nauk Mahometa z Judaizmem, a co za tym idzie i z często starotestamentalną logiką Chrześcijaństwa? Pierwszymi uczniami Mahometa byli wyznawcy judaizmu, a jego koran to nic jak 'udoskonalona wersja' prawa mojżeszowego i naszych tak chołubionych 10-ciu przykazań. Gdyby nie reformacja i rewolucje obyczajowo- socjalne, niewiele byśmy się różnili w tej kwestii od muzułmanów. Wińcie krytyński patriarhalizm ale w całości, bez względu do której z trzech religii inspirowanych Mojżeszem się to tyczy. BTW w Polsce mamy katolski shariat, gdzie typowa kobieta musi harować drugi etat w koło męża i gromadki dzieki- to są zalecenia Katchizmu Kościoła Katolickiego.|24|5|1
szkoda słów, zakłamanie nie ma granic, Boże chroń Polskę, bo inaczej ci "pseudokatolicy" ją zniszczą|674|612|1
